volumeto,high,low,time,volumefrom,close,open
1982721124.63,11295.58,10256.21,1519171200,183274.25,10481.66,11256.78
1795951829.82,10941.57,9757.19,1519257600,175506.26,9847.96,10481.66
1399448203.16,10420.67,9604.0,1519344000,139373.76,10175.51,9847.96
1244484468.57,10528.0,9396.54,1519430400,125269.68,9705.73,10175.51
793093192.66,9873.79,9329.44,1519516800,82430.45,9610.11,9705.73
1181729273.47,10457.51,9411.82,1519603200,117416.47,10326.5,9610.11
1060840699.02,10879.38,10154.24,1519689600,99772.39,10594.76,10326.5
1126074675.67,11067.76,10303.14,1519776000,105434.79,10334.44,10594.76
952472120.03,11090.3,10247.56,1519862400,88432.44,10929.37,10334.44
852908489.64,11191.94,10801.45,1519948800,77195.49,11043.12,10929.37
812200126.22,11530.66,11043.12,1520035200,71279.36,11465.36,11043.12
690727335.55,11539.79,11084.01,1520121600,61016.39,11504.42,11465.36
791471905.1,11694.15,11431.55,1520208000,68323.51,11440.73,11503.94
1210081181.36,11441.65,10589.28,1520294400,109876.55,10735.45,11440.33
1858869115.0,10913.7,9470.73,1520380800,183060.08,9928.56,10735.45
1492236089.97,10119.21,9086.85,1520467200,154879.22,9316.72,9928.56
2081621422.7,9433.38,8393.45,1520553600,233598.15,9252.76,9316.77
1084925795.69,9518.62,8727.43,1520640000,117409.38,8797.27,9252.76
1374814644.2,9735.64,8484.32,1520726400,149877.66,9544.84,8797.27
1435404200.39,9907.41,8796.52,1520812800,152959.8,9142.15,9543.98
1228556284.3,9486.12,8856.65,1520899200,133768.47,9160.12,9142.27
1385572511.72,9360.66,7966.94,1520985600,161775.05,8217.7,9160.12
1519850464.55,8432.12,7698.47,1521072000,187365.71,8268.41,8216.22
1082790136.53,8616.63,7924.11,1521158400,129688.11,8283.23,8267.95
901939422.97,8360.64,7765.41,1521244800,111641.32,7883.45,8283.23
1535519444.95,8299.86,7318.46,1521331200,198796.34,8215.4,7882.67
1447812723.08,8725.6,8129.66,1521417600,171829.52,8623.14,8215.5
1150462439.42,9056.23,8339.8,1521504000,131959.66,8920.71,8623.14
991376396.96,9184.51,8778.69,1521590400,109985.22,8911.35,8920.53
1023286566.15,9107.0,8500.88,1521676800,116522.98,8724.98,8911.37
939997284.45,8935.88,8307.58,1521763200,109649.39,8934.8,8724.98
827663165.33,9036.23,8515.53,1521849600,93296.24,8548.06,8935.51
657643520.26,8690.36,8395.85,1521936000,76775.64,8472.84,8548.39
1079038734.78,8521.04,7869.27,1522022400,131859.97,8152.2,8472.56
930754990.52,8226.24,7752.3,1522108800,116523.1,7808.48,8152.18
657712114.92,8117.79,7752.6,1522195200,82590.62,7959.78,7808.42
1379180030.3,7983.77,6927.11,1522281600,185805.88,7106.62,7959.78
1584675343.21,7280.27,6595.26,1522368000,229837.79,6853.76,7106.62
915400590.57,7228.4,6806.34,1522454400,129526.48,6943.77,6853.75
889887684.72,7056.22,6463.54,1522540800,131344.01,6835.84,6943.77
748861435.14,8218.66,6792.3,1522627200,106513.22,7074.6,6835.58
905326798.64,7528.97,7039.88,1522713600,122807.02,7434.3,7074.65
877199782.17,7442.42,6727.09,1522800000,123910.33,6815.5,7434.3
777145174.76,6933.66,6602.38,1522886400,114426.84,6790.45,6815.5
605651287.47,6869.53,6526.67,1522972800,90749.16,6634.86,6790.45
564883141.53,7083.85,6624.47,1523059200,81312.77,6917.2,6634.86
425825572.09,7132.03,6911.02,1523145600,60386.23,7049.92,6917.2
901883664.92,7204.28,6633.69,1523232000,130534.03,6789.53,7049.92
424510977.27,6922.84,6676.72,1523318400,62035.53,6871.07,6789.53
450141340.22,6999.37,6839.16,1523404800,64802.3,6977.13,6871.07
1490759969.77,8051.95,6791.33,1523491200,197276.82,7927.73,6977.04
1171435820.59,8237.16,7758.8,1523577600,145665.26,7899.11,7927.73
537286381.88,8195.34,7841.19,1523664000,66678.63,8022.51,7898.74
570527804.56,8437.03,8021.04,1523750400,68822.07,8376.73,8022.51
713471956.84,8430.93,7929.24,1523836800,87681.75,8079.77,8376.73
580880500.84,8187.6,7858.12,1523923200,71933.6,7921.63,8079.77
593500791.64,8246.57,7908.92,1524009600,73050.12,8189.96,7921.65
602099034.89,8321.01,8136.42,1524096000,72820.98,8301.82,8189.92
979994921.45,8945.14,8243.49,1524182400,114730.74,8877.08,8301.82
829073400.66,9047.82,8631.18,1524268800,93635.24,8935.72,8877.15
610183093.43,9043.98,8788.44,1524355200,68212.83,8823.36,8935.85
553892335.42,9025.73,8804.2,1524441600,61895.95,8968.25,8823.46
1115227136.6,9590.27,8957.68,1524528000,119593.11,9574.69,8967.86
